biomarker_id	biomarker	assessed_biomarker_entity	assessed_biomarker_entity_id	assessed_entity_type	condition	condition_id	exposure_agent	exposure_agent_id	best_biomarker_role	specimen	specimen_id	loinc_code	evidence_source	evidence	tag
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32161940	lower lymphocyte counts, higher leukocyte counts and neutrophil-lymphocyte ratio (NLR), lower monocytes, eosinophils, and basophils elevated inflammatory cytokines. T cells significantly decreased, helper T (Th) cells and suppressor T cells were below normal levels naive Th cells increased and memory Th cells decreased. lower levels of regulatory T cells.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32425269	The maximal level of IL-6, followed by CRP level, was highly predictive of the need for mechanical ventilation. This suggests the possibility of using IL-6 or CRP level to guide escalation of treatment in patients with COVID-19-related hyperinflammatory syndrome.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32385523	Up-regulated IL-6 levels may serve as a potential marker for predicting progression of COVID19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32181911	IL-6 and d-D were closely related to the occurrence of severe COVID-19 in the adult patients, and their combined detection had the highest specificity and sensitivity for early prediction of the severity of COVID-19 patients, which has important clinical value.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32344321	The serum levels of IL-6 and CRP can effectively assess disease severity and predict outcome in patients with COVID-19.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32286245	In hospitalized patients with respiratory distress, we recommend clinicians closely monitor WBC count, lymphocyte count, platelet count, IL-6 and serum ferritin as markers for potential progression to critical illness.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32430456	The mean of glycemia during hospitalization was 10.65 0.84 mmol/L in the no insulin infusion group and 7.69 1.85 mmol/L in the insulin infusion group. At baseline, IL-6 and D-dimer levels were significantly higher in the hyperglycemic group than in the normoglycemic group (P < 0.001). Even though all patients were on standard treatment for COVID-19 infection, IL-6 and D-dimer levels persisted higher in patients with hyperglycemia during hospitalization.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32511562	COVID-19 is associated with high levels of IL-6, TNF-a, IL-1b, and CXCL8/IL-8. IL-6 was one of the most robust prognostic markers of survival. It remained independently associated with severity and predictive of outcome. Furthermore, elevated TNF-a, known to contribute to organ damage, was also a strong predictor of poor outcome.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:33303843	Elevated levels of pro-inflammatory cytokines were present in patients with severe COVID19. IL-6 and MCP-1 were inversely correlated with P/F with the largest AUC in ROC analyses and should be further explored as biomarkers to identify patients at risk for severe RF and as targets for improved treatment strategies.	condition;best_biomarker_role
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32505227	Other consistently reported markers in non-survivors are increased procalcitonin (PCT) and IL-6 levels, as well as increased serum urea, creatinine, cystatin C, direct bilirubin, and cholinesterase.	condition;best_biomarker_role
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:33349241	Significant correlations were found about age, IL2R, IL-6, IL-8, IL-10, TNFα, CRP, ferroprotein, PCT, LC, NC, and EC. PCT (R = -0.650), CRP (R = -0.604), NC (R = -0.585), age (R = -0.564), LC (R = 0.56), IL-6 (R = -0.535), IL2R (R = -0.534) and ferroprotein (R = -0.508) were highly correlated.	condition;best_biomarker_role
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32503382	Erythrocyte sedimentation rate (ESR) (R=0.55, p < .01) was positively associated with CT severity scores. To sum up, we can conclude from the analysis of published studies that hematological (lymphocyte count, neutrophil count, and NLR), inflammatory (CRP, ESR, IL-6), and especially biochemical (D-dimer, Troponins, CK) parameters correlate with severe prognosis or exitus in COVID-19 patients and can therefore be used as predictive biomarkers.	condition;best_biomarker_role
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32576222	Levels of VEGF-D, TNF-alpha, SCF, LIF, IL-2, IL-4, IL-6, IL-8, IL-10, IL-15, IL-17A, IL-18, IL-1 beta, and IFN-gamma were significantly higher in the critical group than in the severe group (Table 1).	condition;best_biomarker_role
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	Pubmed:32503877	Analysis revealed significantly elevated BTK activity, as evidenced by autophosphorylation, and increased IL-6 production.	condition;best_biomarker_role
AN6278-2	increased IL6 level	Interleukin-6	UPKB:P05231	protein	diabetes mellitus	DOID:9351			prognostic	blood	UBERON:0000178	26881-3	Pubmed:28848164	Our study is suggestive of S100A8/A9 and IL-6 being related to a persistent diabetes status post-surgically and of different pathophysiological mechanisms being involved in the post-surgical changes in the three groups, despite similar decreases in BMI.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6278-3	increased IL6 level	Interleukin-6	UPKB:P05231	protein	autoimunne diabetes	DOID:0080846			risk	blood	UBERON:0000178	26881-3	Pubmed:31772933	Significantly higher IL-15 and IL-6 concentrations, HOMAIR, and markedly lower eGDR in newly diagnosed AD patients and first-degree relatives with positive anti-islet antibodies might suggest the role of these pro-inflammatory cytokines and insulin resistance in the pathogenesis of autoimmune diabetes. IL-15 and IL-6 might be used as biomarkers of the risk of autoimmune diabetes development.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:32286245	In hospitalized patients with respiratory distress, we recommend clinicians closely monitor WBC count, lymphocyte count, platelet count, IL-6 and serum ferritin as markers for potential progression to critical illness.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:33349241	With following parameters such as age >67.5 years, IL2R >793.5U/mL, CRP >30.7ng/mL, ferroprotein >2252ug/L, WBC>9.5x10^9/L or NC >7.305x10^9/L, the progress of COVID-19 to critical stage should be closely observed and possibly prevented.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:32161940	Lower lymphocyte counts, higher leukocyte counts and neutrophil-lymphocyte ratio (NLR), lower monocytes, eosinophils, and basophils elevated inflammatory cytokines T cells significantly decreased, helper T (Th) cells and suppressor T cells were below normal levels naive Th cells increased and memory Th cells decreased lower levels of regulatory T cells.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:32281668	Patients with flu had higher WBC, granulocyte and granulocyte/lymphocyte ratio, compared with COVID-19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:32282949	A retrospective study including 187 patients with COVID-19 from another hospital in Wuhan showed that patients with high troponin-T levels had leukocytosis (P < .001), increased neutrophils (P < .001) and decreased lymphocytes (P = .01).	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:32224151	The blood count results showed anaemia in 21 (75%) patients, leucopaenia in 9 (32.1%) patients, and lymphopaenia in 23 (82.1%) patients. Patients developed severe clinical events; 6 (21.4%) patients were admitted to ICU, 10 (35.7%) patients had life-threatening complications, and 8 (28.6%) of the patients died.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178	26464-8	Pubmed:32357994	Post-COVID-19 infection, lower hemoglobin levels, higher total white blood cell (WBC) counts, and higher absolute neutrophil counts were associated with increased mortality (Table 3). Analysis of other serologic biomarkers demonstrated that elevated D-dimer, lactate, and lactate dehydrogenase (LDH) in patients were significantly correlated with dying (Table 3).	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:32286245	In hospitalized patients with respiratory distress, we recommend clinicians closely monitor WBC count, lymphocyte count, platelet count, IL-6 and serum ferritin as markers for potential progression to critical illness.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:33349241	With following parameters such as age >67.5 years, IL2R >793.5U/mL, CRP >30.7ng/mL, ferroprotein >2252ug/L, WBC>9.5x10^9/L or NC >7.305x10^9/L, the progress of COVID-19 to critical stage should be closely observed and possibly prevented.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:32161940	Lower lymphocyte counts, higher leukocyte counts and neutrophil-lymphocyte ratio (NLR), lower monocytes, eosinophils, and basophils elevated inflammatory cytokines T cells significantly decreased, helper T (Th) cells and suppressor T cells were below normal levels naive Th cells increased and memory Th cells decreased lower levels of regulatory T cells.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:32281668	Patients with flu had higher WBC, granulocyte and granulocyte/lymphocyte ratio, compared with COVID-19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:32282949	A retrospective study including 187 patients with COVID-19 from another hospital in Wuhan showed that patients with high troponin-T levels had leukocytosis (P < .001), increased neutrophils (P < .001) and decreased lymphocytes (P = .01).	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:32224151	The blood count results showed anaemia in 21 (75%) patients, leucopaenia in 9 (32.1%) patients, and lymphopaenia in 23 (82.1%) patients. Patients developed severe clinical events; 6 (21.4%) patients were admitted to ICU, 10 (35.7%) patients had life-threatening complications, and 8 (28.6%) of the patients died.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-1	increased WBC count	White blood cell	CO:CL_0000738	cell	COVID-19	DOID:0080600			monitoring	blood	UBERON:0000178		Pubmed:32357994	Post-COVID-19 infection, lower hemoglobin levels, higher total white blood cell (WBC) counts, and higher absolute neutrophil counts were associated with increased mortality (Table 3). Analysis of other serologic biomarkers demonstrated that elevated D-dimer, lactate, and lactate dehydrogenase (LDH) in patients were significantly correlated with dying (Table 3).	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6280-2	increased WBC count	White blood cell	CO:CL_0000738	cell	head and neck cancer	DOID:11934			prognostic	blood	UBERON:0000178		Pubmed:30073209	The strength of this study is the robust association between leukocytosis and poor prognosis in a homogenous cohort of HNSCC, treated with concurrent cisplatin.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32369209	Our results showed that the laboratory tests of cancer patients had the following characteristics: low lymphocytes, increased IL-6, CRP, PCT, D dimer, and LDH. The increase of these inflammatory indexes indicates that the infected patients were in inflammatory state, which may be closely related to the inflammatory storm.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32277967	Patients with higher initial SAA are more likely to have poor CT imaging. Our study indicated that SAA/L. CRP, SAA, and l are valuable in predicting the severity and distinguishing critically ill patients from mild ones.	biomarker;assessed_biomarker_entity;specimen
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32475810	Lymphocytes and platelet count showed significantly lower levels in severe patients compared to non-severe patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32048163	the combinations of the hypoalbuminemia, lymphopenia, and high concentrations of CRP and LDH in 2019-nCoV infected patients upon hospital admission may predict more severe acute lung injury.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32438331	Biomarkers that predict the mortality of individual patients more than 10 days in advance with more than 90% accuracy: lactic dehydrogenase (LDH), lymphocyte and high-sensitivity C-reactive protein (hs-CRP). [DOI:10.1038/s42256-020-0180-7] Clinical biomarkers predicting the higher risk: Hypertension, elevated serum Alanine aminotransferase, high Interleukin-6, decreased Lymphocytes count.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32471703	We propose that a few parameters, such Lymphocytes count, L/N ratio, SaO2 and CRP serum level can be used to assess the severity of COVID-19 in emergency room.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32352397	In this study, the most important finding was that the neutrophil count, lymphocyte count and platelet count were independent risk factors for predicting the development of severe illness in COVID-19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32377400	Lymphopenia is an effective and reliable indicator of the severity and hospitalization in COVID-19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32286245	In hospitalized patients with respiratory distress, we recommend clinicians closely monitor WBC count, lymphocyte count, platelet count, IL-6 and serum ferritin as markers for potential progression to critical illness.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32277967	SAA and Lymphocytes are sensitive indicators in evaluating the severity and prognosis of COVID-19.	biomarker;assessed_biomarker_entity;specimen
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32161940	Biomarkers that predict the mortality of individual patients more than 10 days in advance with more than 90% accuracy: lactic dehydrogenase (LDH), lymphocyte and high-sensitivity C-reactive protein (hs-CRP). [DOI:10.1038/s42256-020-0180-7] Lower lymphocyte counts, higher leukocyte counts and neutrophil-lymphocyte ratio (NLR), lower monocytes, eosinophils, and basophils elevated inflammatory cytokines T cells significantly decreased, helper T (Th) cells and suppressor T cells were below normal levels naive Th cells increased and memory Th cells decreased lower levels of regulatory T cells.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32220650	Besides radiographic presentations, variables that were associated significantly with severity of COVID-19 were decreased lymphocytes, elevated body temperature, and high levels of procalcitonin, D-dimer, and creatine kinase MB.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32077115	Detailed clinical investigation of 140 hospitalized COVID-19 cases suggests eosinopenia together with lymphopenia may be a potential indicator for diagnosis.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32376308	Lymphopenia is a prominent part of severe COVID-19 and a lymphocyte count of less than 1.5 x 10^9/L may be useful in predicting the severity clinical outcomes.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32277967	Patients with higher initial SAA are more likely to have poor CT imaging. Our study indicated that SAA/L. CRP, SAA, and l are valuable in predicting the severity and distinguishing critically ill patients from mild ones.;|SAA and Lymphocytes are sensitive indicators in evaluating the severity and prognosis of COVID-19.	condition;best_biomarker_role
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32589600	Many biomarkers have been associated with poor outcomes and represent a candidate for risk stratification models for predicting severe COVID-19 in order to guide clinical care. Among all, lymphopenia, thrombocytopenia, leucocytosis, CRP, PCT, LDH, AST, ALT, D-dimer, cTn represent the most predictive parameters of severe COVID-19	condition;best_biomarker_role
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26474-7	Pubmed:32388230	Patient 1: Lymphocyte count increased from 30 × 10^9/l to a peak of 177 × 10^9/l.Patient 2: Lymphocyte count increased from 22 × 10^9/l to 32 × 10^9/l.Patient 3: Lymphocyte count increased from 235 × 10^9/l to 253 × 10^9/l and peaked at 346 × 10^9/l.Patient 4: Lymphocyte count increased from 2.8 × 10^9/l to 8 × 10^9/l.	condition;best_biomarker_role
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32369209	Our results showed that the laboratory tests of cancer patients had the following characteristics: low lymphocytes, increased IL-6, CRP, PCT, D dimer, and LDH. The increase of these inflammatory indexes indicates that the infected patients were in inflammatory state, which may be closely related to the inflammatory storm.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32277967	Patients with higher initial SAA are more likely to have poor CT imaging. Our study indicated that SAA/L. CRP, SAA, and l are valuable in predicting the severity and distinguishing critically ill patients from mild ones.	biomarker;assessed_biomarker_entity;specimen
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32475810	Lymphocytes and platelet count showed significantly lower levels in severe patients compared to non-severe patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32048163	the combinations of the hypoalbuminemia, lymphopenia, and high concentrations of CRP and LDH in 2019-nCoV infected patients upon hospital admission may predict more severe acute lung injury.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32438331	Biomarkers that predict the mortality of individual patients more than 10 days in advance with more than 90% accuracy: lactic dehydrogenase (LDH), lymphocyte and high-sensitivity C-reactive protein (hs-CRP). [DOI:10.1038/s42256-020-0180-7] Clinical biomarkers predicting the higher risk: Hypertension, elevated serum Alanine aminotransferase, high Interleukin-6, decreased Lymphocytes count.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32471703	We propose that a few parameters, such Lymphocytes count, L/N ratio, SaO2 and CRP serum level can be used to assess the severity of COVID-19 in emergency room.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32352397	In this study, the most important finding was that the neutrophil count, lymphocyte count and platelet count were independent risk factors for predicting the development of severe illness in COVID-19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
AN6281-1	decreased LYMP count	Lymphocyte	CO:CL_0000542	cell	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178		Pubmed:32377400	Lymphopenia is an effective and reliable indicator of the severity and hospitalization in COVID-19 patients.	biomarker;assessed_biomarker_entity;specimen;best_biomarker_role;condition
